URUN_REFNO|ADI|KATEGORI_REFNO|ALT_KATEGORI_REFNO|TEDARIKCI_REFNO|KDVSIZ_SATIS_FIYATI|KDVSIZ_ALIS_FIYATI|SATIS_KDV_ORANI|ALIS_KDV_ORANI|BARKODU|BIRIM1|BIRIM2|
99|AOPEN QF50W-W03|1|1|2|60,5|0,0000|0|0|8692212121|ADET||
100|AOPEN KA50D-D01|1|1|2|65,34|0,0000|0|0|8692212121|ADET||
101|ASUS TA-230 PFC CE FAN 4 USB|1|1|2|58,08|0,0000|0|0|8692212121|ADET||
102|ASUS TA-231 SIYAH PFC CE FAN|1|1|2|58,08|0,0000|0|0|8692212121|ADET||
103|QUAKE Q TR STANDART|1|1|2|3,146|0,0000|0|0|8692212121|ADET||
104|MICROSOFT KLAVYE MAUSE KABLOSUZ N90-00 OPTIK|1|1|2|54,45|0,0000|0|0|8692212121|ADET||
105|MICROSOFT KLAVYE MOUSE (OPTIK) K96-0021|1|1|2|25,41|0,0000|0|0|8692212121|ADET||
106|A4 TECH KSB-8 MULTIMEDIA|1|1|2|8,47|0,0000|0|0|8692212121|ADET||
107|A4 TECH KBS-2348RF|1|1|2|42,35|0,0000|0|0|8692212121|ADET||
108|APACHE  56 K INTERNAL F/M|1|1|2|32,67|0,0000|0|0|8692212121|ADET||
109|GIGABYTE 8I845PERZ|1|1|2|67,76|0,0000|0|0|8692212121|ADET||
110|GIGABYTE 8I845GVMRZ|1|1|2|58,08|0,0000|0|0|8692212121|ADET||
111|GIGABYTE 8S661FXMRZ|1|1|2|64,13|0,0000|0|0|8692212121|ADET||
112|GIGABYTE 8I865GVMK|1|1|2|79,86|0,0000|0|0|8692212121|ADET||
113|GIGABYTE 7S748|1|1|2|56,87|0,0000|0|0|8692212121|ADET||
114|MSI 7021|1|1|2|53,845|0,0000|0|0|8692212121|ADET||
115|MSI 6702 KT8NOEFSR 400 SATA RAID LAN|1|1|2|102,85|0,0000|0|0|8692212121|ADET||
116|SMARTPRO CCD PS2 BAR OKU|1|1|2|29,645|0,0000|0|0|8692212121|ADET||
117|SANDISK SD 64MB|1|1|2|21,78|0,0000|0|0|8692212121|ADET||
118|SANDISK SD 128MB|1|1|2|27,225|0,0000|0|0|8692212121|ADET||
119|SANDISK MMC 64MB|1|1|2|17,721|0,0000|0|0|8692212121|ADET||
120|SANDISK MMC 128MB|1|1|2|27,225|0,0000|0|0|8692212121|ADET||
121|SANDISK CF 256MB|1|1|2|35,695|0,0000|0|0|8692212121|ADET||
122|SANDISK CF 128MB|1|1|2|21,78|0,0000|0|0|8692212121|ADET||
123|SANDISK CF 512MB|1|1|2|60,5|0,0000|0|0|8692212121|ADET||
124|SANDISK XD 64MB|1|1|2|20,251|0,0000|0|0|8692212121|ADET||
125|SANDISK XD 128MB|1|1|2|30,25|0,0000|0|0|8692212121|ADET||
126|SANDISK XD 256MB|1|1|2|48,4|0,0000|0|0|8692212121|ADET||
127|KINGSTON SD 128MB|1|1|2|20,57|0,0000|0|0|8692212121|ADET||
128|KINGSTON SD 256MB|1|1|2|36,3|0,0000|0|0|8692212121|ADET||
129|KINGSTON CF 128MB|1|1|2|21,78|0,0000|0|0|8692212121|ADET||
130|KINGSTON CF 256MB|1|1|2|32,67|0,0000|0|0|8692212121|ADET||
131|PHILIPS 16X INT.|1|1|2|41,14|0,0000|0|0|8692212121|ADET||
132|SEAGATE 160 GB. 7200 RPM U.ATA|1|1|2|103,455|0,0000|0|0|8692212121|ADET||
133|SEAGATE 160 GB. 7200 RPM S.ATA|1|1|2|123,42|0,0000|0|0|8692212121|ADET||
134|SEAGATE 80 GB 7200 RPM U.ATA|1|1|2|70,664|0,0000|0|0|8692212121|ADET||
